Designator,Mid X,Mid Y,Rotation,Layer
C1,103.46,-52.68,90.0,top
C10,187.725,-95.625,0.0,top
C11,182.480426,-92.449748,90.0,top
C12,178.9,-93.05,90.0,top
C13,176.775,-93.05,90.0,top
C14,183.86,-81.615,270.0,top
C19,186.324999,-83.959602,90.0,top
C2,181.1,-104.85,90.0,top
C22,182.324999,-86.55,90.0,top
C23,187.012501,-114.8375,180.0,top
C24,192.512501,-113.925,270.0,top
C26,197.607699,-121.925,180.0,top
C27,195.967301,-118.649999,270.0,top
C3,96.25,-55.59,180.0,top
C4,103.175,-93.025,180.0,top
C5,177.475,-81.105,0.0,top
C6,103.9,-79.56,270.0,top
C7,193.299998,-84.467301,90.0,top
C8,197.903751,-96.5,180.0,top
C9,177.625,-77.185,180.0,top
D1,103.35,-106.55,0.0,top
D2,90.0,-63.475,90.0,top
D3,95.5,-63.475,90.0,top
D4,92.775,-63.475,270.0,top
J1,86.171699,-48.0,270.0,top
J10,199.89625,-104.425,90.0,top
J11,195.03,-62.550003,0.0,top
J12,182.25,-63.85,180.0,top
J13,184.635,-70.685,0.0,top
J14,180.695,-70.685,0.0,top
J2,193.028301,-48.0,90.0,top
J3,86.171699,-81.6416,270.0,top
J4,86.171699,-117.6416,270.0,top
J5,86.171699,-73.175,270.0,top
J6,86.171699,-109.1416,270.0,top
J7,86.171699,-91.1416,270.0,top
J8,86.171699,-100.175,270.0,top
J9,197.807491,-87.917301,90.0,top
LED1,98.058401,-106.9,0.0,top
LED2,98.058401,-85.2,0.0,top
LED3,96.075,-96.375,0.0,top
LED4,98.058401,-71.15,0.0,top
Q1,96.674101,-77.08,90.0,top
Q2,96.674101,-91.1675,90.0,top
Q3,96.674101,-100.1675,90.0,top
Q4,96.674101,-113.1675,90.0,top
R1,98.200001,-73.175,180.0,top
R10,190.0625,-113.925,90.0,top
R11,103.05,-115.65,0.0,top
R12,180.525,-98.925,0.0,top
R13,180.362498,-114.8375,180.0,top
R14,176.7,-104.9225,270.0,top
R15,192.324999,-90.424811,180.0,top
R16,188.324999,-90.424811,180.0,top
R17,179.05,-104.8625,270.0,top
R18,177.0,-111.325,270.0,top
R19,180.525,-100.95,0.0,top
R2,101.700001,-76.0875,270.0,top
R20,180.362498,-116.8875,180.0,top
R21,102.55,-104.0,270.0,top
R22,187.35,-102.275,270.0,top
R23,187.325,-98.7375,90.0,top
R24,90.0,-60.225,270.0,top
R25,95.5,-60.225,270.0,top
R26,92.775,-66.75,90.0,top
R27,100.875,-67.675,0.0,top
R28,191.9625,-105.925,180.0,top
R29,188.012501,-105.925,180.0,top
R3,98.200001,-109.175,180.0,top
R30,198.557699,-118.649999,90.0,top
R31,199.7875,-111.7375,0.0,top
R32,200.7,-114.674999,270.0,top
R4,101.65,-112.175,270.0,top
R5,98.200001,-87.175,180.0,top
R6,101.700001,-90.175,270.0,top
R7,99.112501,-95.675,90.0,top
R8,101.700001,-99.175,270.0,top
R9,185.824999,-87.5,0.0,top
U11,191.012501,-109.425,90.0,top
U12,197.2625,-114.7125,0.0,top
U2,179.925,-109.85,90.0,top
U3,183.125,-76.525,0.0,top
U4,101.13,-58.82785,180.0,top
U5,181.9803,-95.849811,180.0,top
U6,189.324999,-86.204801,270.0,top
U7,140.325,-95.755,0.0,top
